,Network,Group,Network type,Conserved fraction,Prevalence of conserved fraction,Set type,Set size,Set type (absolute),Samples
698,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,40,3.0,10.0
699,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,0,5.0,10.0
700,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
701,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
702,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,513,,10.0
703,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,260,2.0,10.0
704,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,47,3.0,10.0
705,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,4,5.0,10.0
706,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
707,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
708,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,570,,10.0
709,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,237,2.0,10.0
710,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,38,3.0,10.0
711,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
712,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
713,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
714,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Difference,521,,10.0
715,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.2,251,2.0,10.0
716,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.3,54,3.0,10.0
717,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
718,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
719,Degree size: 0.2 prev:0.2,sponges_networks,Degree networks,0.2,0.2,Intersection 1,0,10.0,10.0
720,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Difference,558,,10.0
721,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.2,244,2.0,10.0
722,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.3,41,3.0,10.0
723,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.5,3,5.0,10.0
724,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 0.7,0,7.0,10.0
725,Random size: 0.2 prev:0.2,sponges_networks,Random networks,0.2,0.2,Intersection 1,0,10.0,10.0
726,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,192,,10.0
727,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,212,2.0,10.0
728,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,203,3.0,10.0
729,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,201,5.0,10.0
730,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,12,7.0,10.0
731,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,1,10.0,10.0
732,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,219,,10.0
733,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,202,2.0,10.0
734,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,201,3.0,10.0
735,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,201,5.0,10.0
736,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,15,7.0,10.0
737,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,0,10.0,10.0
738,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,191,,10.0
739,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,210,2.0,10.0
740,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,205,3.0,10.0
741,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,205,5.0,10.0
742,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,13,7.0,10.0
743,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,0,10.0,10.0
744,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,208,,10.0
745,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,211,2.0,10.0
746,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,204,3.0,10.0
747,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,203,5.0,10.0
748,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,11,7.0,10.0
749,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,0,10.0,10.0
750,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,180,,10.0
751,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,217,2.0,10.0
752,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,209,3.0,10.0
753,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,208,5.0,10.0
754,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,7,7.0,10.0
755,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,0,10.0,10.0
756,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,212,,10.0
757,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,207,2.0,10.0
758,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,199,3.0,10.0
759,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,199,5.0,10.0
760,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,15,7.0,10.0
761,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,0,10.0,10.0
762,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,201,,10.0
763,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,211,2.0,10.0
764,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,205,3.0,10.0
765,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,204,5.0,10.0
766,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,11,7.0,10.0
767,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,1,10.0,10.0
768,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,229,,10.0
769,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,207,2.0,10.0
770,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,203,3.0,10.0
771,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,201,5.0,10.0
772,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,12,7.0,10.0
773,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,1,10.0,10.0
774,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,207,,10.0
775,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,212,2.0,10.0
776,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,204,3.0,10.0
777,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,203,5.0,10.0
778,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,11,7.0,10.0
779,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,0,10.0,10.0
780,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,215,,10.0
781,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,205,2.0,10.0
782,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,203,3.0,10.0
783,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,202,5.0,10.0
784,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,13,7.0,10.0
785,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,0,10.0,10.0
786,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,205,,10.0
787,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,206,2.0,10.0
788,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,200,3.0,10.0
789,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,198,5.0,10.0
790,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,16,7.0,10.0
791,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,1,10.0,10.0
792,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,190,,10.0
793,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,205,2.0,10.0
794,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,201,3.0,10.0
795,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,198,5.0,10.0
796,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,17,7.0,10.0
797,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,0,10.0,10.0
798,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,216,,10.0
799,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,204,2.0,10.0
800,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,194,3.0,10.0
801,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,192,5.0,10.0
802,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,20,7.0,10.0
803,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,0,10.0,10.0
804,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,220,,10.0
805,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,204,2.0,10.0
806,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,201,3.0,10.0
807,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,199,5.0,10.0
808,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,13,7.0,10.0
809,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,1,10.0,10.0
810,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,211,,10.0
811,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,210,2.0,10.0
812,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,203,3.0,10.0
813,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,202,5.0,10.0
814,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,16,7.0,10.0
815,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,0,10.0,10.0
816,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,201,,10.0
817,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,208,2.0,10.0
818,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,204,3.0,10.0
819,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,204,5.0,10.0
820,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,14,7.0,10.0
821,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,1,10.0,10.0
822,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,207,,10.0
823,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,210,2.0,10.0
824,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,204,3.0,10.0
825,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,203,5.0,10.0
826,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,10,7.0,10.0
827,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,0,10.0,10.0
828,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,212,,10.0
829,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,206,2.0,10.0
830,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,201,3.0,10.0
831,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,201,5.0,10.0
832,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,14,7.0,10.0
833,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,2,10.0,10.0
834,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Difference,199,,10.0
835,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.2,207,2.0,10.0
836,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.3,199,3.0,10.0
837,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.5,199,5.0,10.0
838,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 0.7,18,7.0,10.0
839,Degree size: 0.2 prev:0.5,sponges_networks,Degree networks,0.2,0.5,Intersection 1,1,10.0,10.0
840,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Difference,210,,10.0
841,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.2,207,2.0,10.0
842,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.3,203,3.0,10.0
843,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.5,203,5.0,10.0
844,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 0.7,13,7.0,10.0
845,Random size: 0.2 prev:0.5,sponges_networks,Random networks,0.2,0.5,Intersection 1,0,10.0,10.0
846,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,189,,10.0
847,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,461,2.0,10.0
848,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,84,3.0,10.0
849,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,10,5.0,10.0
850,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
851,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
852,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,189,,10.0
853,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,450,2.0,10.0
854,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,90,3.0,10.0
855,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,15,5.0,10.0
856,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
857,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
858,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,200,,10.0
859,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,461,2.0,10.0
860,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,91,3.0,10.0
861,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,14,5.0,10.0
862,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,1,7.0,10.0
863,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
864,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,179,,10.0
865,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,460,2.0,10.0
866,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,83,3.0,10.0
867,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,9,5.0,10.0
868,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,1,7.0,10.0
869,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
870,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,201,,10.0
871,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,449,2.0,10.0
872,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,98,3.0,10.0
873,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,13,5.0,10.0
874,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,1,7.0,10.0
875,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
876,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,204,,10.0
877,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,465,2.0,10.0
878,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,82,3.0,10.0
879,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,11,5.0,10.0
880,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
881,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
882,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,223,,10.0
883,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,461,2.0,10.0
884,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,99,3.0,10.0
885,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,9,5.0,10.0
886,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
887,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
888,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,186,,10.0
889,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,464,2.0,10.0
890,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,85,3.0,10.0
891,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,11,5.0,10.0
892,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
893,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
894,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,180,,10.0
895,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,453,2.0,10.0
896,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,99,3.0,10.0
897,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,13,5.0,10.0
898,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
899,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
900,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,187,,10.0
901,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,457,2.0,10.0
902,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,91,3.0,10.0
903,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,9,5.0,10.0
904,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
905,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
906,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,192,,10.0
907,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,460,2.0,10.0
908,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,92,3.0,10.0
909,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,11,5.0,10.0
910,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
911,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
912,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,207,,10.0
913,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,455,2.0,10.0
914,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,94,3.0,10.0
915,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,12,5.0,10.0
916,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
917,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
918,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,184,,10.0
919,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,470,2.0,10.0
920,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,92,3.0,10.0
921,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,8,5.0,10.0
922,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,0,7.0,10.0
923,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
924,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,209,,10.0
925,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,462,2.0,10.0
926,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,86,3.0,10.0
927,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,11,5.0,10.0
928,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,1,7.0,10.0
929,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
930,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,198,,10.0
931,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,452,2.0,10.0
932,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,97,3.0,10.0
933,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.5,12,5.0,10.0
934,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
935,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 1,0,10.0,10.0
936,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Difference,209,,10.0
937,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.2,443,2.0,10.0
938,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.3,100,3.0,10.0
939,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.5,14,5.0,10.0
940,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 0.7,2,7.0,10.0
941,Random size: 0.5 prev:0.2,sponges_networks,Random networks,0.5,0.2,Intersection 1,0,10.0,10.0
942,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Difference,197,,10.0
943,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.2,457,2.0,10.0
944,Degree size: 0.5 prev:0.2,sponges_networks,Degree networks,0.5,0.2,Intersection 0.3,91,3.0,10.0
